ID,PCP_PC,PCP_PO,PCP_NP,PCP_CY,PCP_AR,PCP_BS,PCP_HB,PCP_HL,PCP_SC,PCP_SM,PCP_LR
Seq_3751,0.189,0.183,0.442,0.027,0.127,0.189,0.439,0.235,0.013,0.348,0.652
Seq_3752,0.131,0.172,0.517,0.048,0.076,0.131,0.496,0.212,0.033,0.461,0.539
Seq_3753,0.122,0.182,0.527,0.051,0.091,0.122,0.505,0.227,0.031,0.558,0.442
Seq_3754,0.089,0.252,0.493,0.049,0.101,0.089,0.538,0.231,0.037,0.612,0.388
Seq_3755,0.149,0.173,0.466,0.024,0.082,0.149,0.462,0.221,0.019,0.428,0.572
Seq_3756,0.109,0.195,0.475,0.027,0.1,0.109,0.516,0.186,0.036,0.394,0.606
Seq_3757,0.134,0.159,0.544,0.025,0.069,0.134,0.491,0.184,0.056,0.512,0.488
Seq_3758,0.142,0.179,0.483,0.024,0.088,0.142,0.497,0.22,0.047,0.47,0.53
Seq_3759,0.123,0.128,0.564,0.067,0.106,0.123,0.508,0.24,0.039,0.508,0.492
Seq_3760,0.081,0.273,0.464,0.054,0.146,0.081,0.468,0.23,0.018,0.595,0.405
Seq_3761,0.138,0.218,0.488,0.018,0.127,0.138,0.47,0.218,0.023,0.468,0.532
Seq_3762,0.125,0.224,0.493,0.038,0.047,0.125,0.516,0.207,0.035,0.499,0.501
Seq_3763,0.13,0.228,0.497,0.047,0.104,0.13,0.513,0.202,0.031,0.508,0.492
Seq_3764,0.13,0.126,0.565,0.061,0.083,0.13,0.543,0.209,0.013,0.504,0.496
Seq_3765,0.152,0.212,0.442,0.052,0.078,0.152,0.454,0.26,0.041,0.446,0.554
Seq_3766,0.135,0.238,0.441,0.051,0.137,0.135,0.452,0.244,0.028,0.505,0.495
Seq_3767,0.144,0.235,0.456,0.041,0.099,0.144,0.453,0.229,0.017,0.514,0.486
Seq_3768,0.109,0.195,0.536,0.06,0.074,0.109,0.498,0.216,0.031,0.581,0.419
Seq_3769,0.159,0.172,0.517,0.076,0.103,0.159,0.51,0.262,0.062,0.407,0.593
Seq_3770,0.142,0.173,0.488,0.055,0.095,0.142,0.491,0.257,0.038,0.448,0.552
Seq_3771,0.12,0.207,0.494,0.063,0.078,0.12,0.494,0.246,0.048,0.536,0.464
Seq_3772,0.169,0.19,0.465,0.023,0.083,0.169,0.479,0.215,0.046,0.428,0.572
Seq_3773,0.123,0.189,0.536,0.026,0.093,0.123,0.536,0.199,0.016,0.448,0.552
Seq_3774,0.134,0.186,0.521,0.052,0.068,0.134,0.516,0.228,0.029,0.537,0.463
Seq_3775,0.104,0.259,0.474,0.046,0.07,0.104,0.5,0.217,0.022,0.63,0.37
Seq_3776,0.093,0.195,0.554,0.05,0.082,0.093,0.522,0.192,0.026,0.574,0.426
Seq_3777,0.157,0.149,0.509,0.029,0.106,0.157,0.451,0.217,0.014,0.446,0.554
Seq_3778,0.155,0.155,0.484,0.023,0.047,0.155,0.493,0.207,0.047,0.423,0.577
Seq_3779,0.142,0.18,0.468,0.054,0.148,0.142,0.462,0.246,0.03,0.448,0.552
Seq_3780,0.11,0.175,0.562,0.042,0.071,0.11,0.558,0.192,0.042,0.581,0.419
Seq_3781,0.174,0.112,0.519,0.035,0.085,0.174,0.496,0.24,0.031,0.357,0.643
Seq_3782,0.132,0.172,0.558,0.06,0.119,0.132,0.517,0.216,0.041,0.467,0.533
Seq_3783,0.13,0.309,0.433,0.041,0.102,0.13,0.491,0.216,0.077,0.522,0.478
Seq_3784,0.111,0.236,0.479,0.043,0.145,0.111,0.477,0.215,0.028,0.474,0.526
Seq_3785,0.148,0.141,0.544,0.032,0.042,0.148,0.509,0.205,0.028,0.527,0.473
Seq_3786,0.123,0.179,0.556,0.036,0.095,0.123,0.516,0.194,0.036,0.52,0.48
Seq_3787,0.152,0.165,0.468,0.017,0.063,0.152,0.46,0.253,0.017,0.43,0.57
Seq_3788,0.112,0.223,0.496,0.056,0.105,0.112,0.499,0.214,0.055,0.496,0.504
Seq_3789,0.148,0.108,0.544,0.052,0.064,0.148,0.494,0.253,0.038,0.477,0.523
Seq_3790,0.135,0.164,0.543,0.034,0.098,0.135,0.5,0.204,0.034,0.497,0.503
Seq_3791,0.148,0.196,0.507,0.092,0.13,0.148,0.502,0.282,0.038,0.501,0.499
Seq_3792,0.139,0.156,0.552,0.075,0.07,0.139,0.524,0.24,0.028,0.499,0.501
Seq_3793,0.102,0.22,0.525,0.059,0.09,0.102,0.537,0.204,0.031,0.533,0.467
Seq_3794,0.098,0.228,0.531,0.059,0.087,0.098,0.539,0.201,0.035,0.543,0.457
Seq_3795,0.128,0.225,0.475,0.052,0.122,0.128,0.48,0.233,0.043,0.47,0.53
Seq_3796,0.1,0.412,0.344,0.046,0.077,0.1,0.462,0.219,0.032,0.623,0.377
Seq_3797,0.155,0.219,0.404,0.057,0.074,0.155,0.408,0.278,0.01,0.515,0.485
Seq_3798,0.097,0.206,0.506,0.042,0.061,0.097,0.49,0.21,0.016,0.497,0.503
Seq_3799,0.111,0.256,0.452,0.048,0.058,0.111,0.49,0.224,0.045,0.528,0.472
Seq_3800,0.174,0.186,0.447,0.019,0.081,0.174,0.441,0.23,0.047,0.407,0.593
Seq_3801,0.136,0.192,0.435,0.045,0.097,0.136,0.455,0.25,0.055,0.471,0.529
Seq_3802,0.135,0.156,0.547,0.052,0.073,0.135,0.517,0.217,0.031,0.523,0.477
Seq_3803,0.142,0.205,0.473,0.047,0.107,0.142,0.473,0.221,0.025,0.47,0.53
Seq_3804,0.134,0.103,0.612,0.039,0.034,0.134,0.53,0.194,0.026,0.582,0.418
Seq_3805,0.141,0.175,0.497,0.049,0.071,0.141,0.487,0.248,0.037,0.509,0.491
Seq_3806,0.197,0.275,0.365,0.049,0.07,0.197,0.392,0.274,0.057,0.428,0.572
Seq_3807,0.103,0.184,0.539,0.074,0.129,0.103,0.545,0.21,0.048,0.497,0.503
Seq_3808,0.138,0.085,0.567,0.032,0.064,0.138,0.521,0.238,0.032,0.482,0.518
Seq_3809,0.109,0.196,0.515,0.032,0.037,0.109,0.504,0.188,0.024,0.525,0.475
Seq_3810,0.12,0.28,0.448,0.04,0.112,0.12,0.512,0.232,0.048,0.464,0.536
Seq_3811,0.166,0.212,0.386,0.008,0.108,0.166,0.394,0.241,0.017,0.423,0.577
Seq_3812,0.181,0.179,0.434,0.032,0.112,0.181,0.448,0.264,0.025,0.403,0.597
Seq_3813,0.179,0.132,0.473,0.047,0.091,0.179,0.452,0.255,0.018,0.397,0.603
Seq_3814,0.125,0.1,0.7,0.075,0.1,0.125,0.7,0.25,0.05,0.425,0.575
Seq_3815,0.138,0.206,0.475,0.049,0.118,0.138,0.465,0.246,0.048,0.467,0.533
Seq_3816,0.118,0.216,0.499,0.045,0.118,0.118,0.476,0.227,0.036,0.51,0.49
Seq_3817,0.129,0.209,0.469,0.028,0.116,0.129,0.474,0.222,0.036,0.472,0.528
Seq_3818,0.134,0.124,0.598,0.073,0.071,0.134,0.568,0.225,0.048,0.53,0.47
Seq_3819,0.12,0.13,0.552,0.052,0.026,0.12,0.531,0.219,0.068,0.542,0.458
Seq_3820,0.124,0.21,0.496,0.048,0.098,0.124,0.492,0.207,0.042,0.469,0.531
Seq_3821,0.162,0.149,0.493,0.042,0.1,0.162,0.476,0.247,0.011,0.409,0.591
Seq_3822,0.12,0.205,0.524,0.04,0.098,0.12,0.527,0.197,0.051,0.489,0.511
Seq_3823,0.144,0.154,0.539,0.046,0.079,0.144,0.523,0.209,0.035,0.526,0.474
Seq_3824,0.143,0.27,0.44,0.023,0.143,0.143,0.51,0.208,0.073,0.382,0.618
Seq_3825,0.118,0.218,0.491,0.047,0.114,0.118,0.488,0.258,0.033,0.552,0.448
Seq_3826,0.151,0.157,0.546,0.065,0.086,0.151,0.535,0.249,0.027,0.465,0.535
Seq_3827,0.13,0.238,0.433,0.03,0.069,0.13,0.429,0.234,0.026,0.468,0.532
Seq_3828,0.121,0.27,0.418,0.059,0.081,0.121,0.474,0.238,0.074,0.531,0.469
Seq_3829,0.127,0.19,0.481,0.057,0.063,0.127,0.506,0.241,0.044,0.462,0.538
Seq_3830,0.126,0.179,0.517,0.056,0.097,0.126,0.505,0.226,0.049,0.509,0.491
Seq_3831,0.119,0.19,0.485,0.026,0.09,0.119,0.485,0.216,0.034,0.463,0.537
Seq_3832,0.155,0.177,0.49,0.044,0.117,0.155,0.469,0.232,0.038,0.409,0.591
Seq_3833,0.117,0.194,0.546,0.061,0.074,0.117,0.519,0.208,0.049,0.567,0.433
Seq_3834,0.122,0.154,0.564,0.045,0.064,0.122,0.551,0.186,0.032,0.481,0.519
Seq_3835,0.141,0.271,0.412,0.025,0.08,0.141,0.412,0.216,0.04,0.477,0.523
Seq_3836,0.128,0.205,0.453,0.03,0.097,0.128,0.48,0.235,0.03,0.423,0.577
Seq_3837,0.19,0.119,0.526,0.047,0.091,0.19,0.498,0.261,0.028,0.439,0.561
Seq_3838,0.137,0.112,0.569,0.068,0.066,0.137,0.531,0.253,0.018,0.49,0.51
Seq_3839,0.148,0.176,0.465,0.0,0.141,0.148,0.507,0.218,0.049,0.387,0.613
Seq_3840,0.072,0.166,0.691,0.053,0.111,0.072,0.654,0.148,0.044,0.48,0.52
Seq_3841,0.155,0.183,0.493,0.014,0.092,0.155,0.472,0.246,0.049,0.472,0.528
Seq_3842,0.145,0.156,0.532,0.052,0.082,0.145,0.486,0.232,0.032,0.51,0.49
Seq_3843,0.135,0.173,0.481,0.067,0.115,0.135,0.5,0.269,0.058,0.462,0.538
Seq_3844,0.094,0.224,0.523,0.047,0.106,0.094,0.494,0.217,0.024,0.609,0.391
Seq_3845,0.126,0.196,0.479,0.018,0.123,0.126,0.441,0.205,0.014,0.591,0.409
Seq_3846,0.142,0.173,0.472,0.041,0.145,0.142,0.445,0.228,0.053,0.442,0.558
Seq_3847,0.116,0.201,0.514,0.055,0.112,0.116,0.489,0.216,0.024,0.538,0.462
Seq_3848,0.168,0.107,0.55,0.064,0.071,0.168,0.504,0.264,0.014,0.454,0.546
Seq_3849,0.144,0.156,0.494,0.045,0.123,0.144,0.449,0.222,0.025,0.403,0.597
Seq_3850,0.087,0.18,0.56,0.06,0.053,0.087,0.56,0.197,0.047,0.563,0.437
Seq_3851,0.108,0.27,0.478,0.025,0.076,0.108,0.518,0.18,0.036,0.536,0.464
Seq_3852,0.082,0.245,0.517,0.048,0.101,0.082,0.461,0.178,0.019,0.567,0.433
Seq_3853,0.11,0.155,0.589,0.052,0.045,0.11,0.557,0.184,0.042,0.55,0.45
Seq_3854,0.117,0.163,0.583,0.037,0.021,0.117,0.543,0.187,0.037,0.61,0.39
Seq_3855,0.132,0.195,0.525,0.064,0.07,0.132,0.514,0.24,0.035,0.534,0.466
Seq_3856,0.105,0.126,0.615,0.049,0.066,0.105,0.584,0.178,0.021,0.615,0.385
Seq_3857,0.097,0.176,0.538,0.041,0.075,0.097,0.525,0.186,0.041,0.569,0.431
Seq_3858,0.135,0.167,0.524,0.024,0.071,0.135,0.532,0.206,0.048,0.54,0.46
Seq_3859,0.159,0.116,0.558,0.08,0.007,0.159,0.601,0.283,0.029,0.558,0.442
Seq_3860,0.144,0.143,0.552,0.059,0.076,0.144,0.488,0.208,0.012,0.464,0.536
Seq_3861,0.195,0.174,0.442,0.044,0.084,0.195,0.433,0.273,0.052,0.424,0.576
Seq_3862,0.138,0.182,0.535,0.082,0.063,0.138,0.535,0.245,0.038,0.465,0.535
Seq_3863,0.126,0.135,0.586,0.03,0.045,0.126,0.529,0.189,0.033,0.58,0.42
Seq_3864,0.13,0.176,0.573,0.053,0.076,0.13,0.603,0.198,0.069,0.573,0.427
Seq_3865,0.138,0.224,0.451,0.02,0.134,0.138,0.435,0.211,0.041,0.472,0.528
Seq_3866,0.161,0.2,0.467,0.048,0.109,0.161,0.461,0.264,0.039,0.486,0.514
Seq_3867,0.129,0.155,0.515,0.026,0.05,0.129,0.51,0.184,0.038,0.459,0.541
Seq_3868,0.141,0.166,0.492,0.03,0.055,0.141,0.477,0.206,0.05,0.442,0.558
Seq_3869,0.139,0.163,0.499,0.044,0.091,0.139,0.465,0.233,0.047,0.449,0.551
Seq_3870,0.137,0.206,0.459,0.039,0.093,0.137,0.45,0.245,0.033,0.492,0.508
Seq_3871,0.076,0.313,0.508,0.034,0.132,0.076,0.503,0.163,0.05,0.639,0.361
Seq_3872,0.12,0.234,0.487,0.017,0.095,0.12,0.49,0.184,0.031,0.462,0.538
Seq_3873,0.13,0.164,0.585,0.06,0.056,0.13,0.551,0.21,0.031,0.568,0.432
Seq_3874,0.149,0.18,0.488,0.056,0.154,0.149,0.468,0.243,0.022,0.457,0.543
Seq_3875,0.122,0.178,0.544,0.08,0.076,0.122,0.537,0.234,0.029,0.563,0.437
Seq_3876,0.11,0.141,0.545,0.039,0.063,0.11,0.482,0.247,0.035,0.518,0.482
Seq_3877,0.166,0.267,0.404,0.088,0.05,0.166,0.457,0.298,0.043,0.533,0.467
Seq_3878,0.098,0.163,0.587,0.043,0.065,0.098,0.554,0.152,0.011,0.489,0.511
Seq_3879,0.143,0.23,0.448,0.036,0.116,0.143,0.471,0.226,0.051,0.434,0.566
Seq_3880,0.119,0.198,0.52,0.066,0.112,0.119,0.495,0.209,0.026,0.521,0.479
Seq_3881,0.15,0.15,0.517,0.054,0.042,0.15,0.5,0.217,0.033,0.483,0.517
Seq_3882,0.149,0.227,0.453,0.034,0.088,0.149,0.474,0.217,0.054,0.449,0.551
Seq_3883,0.132,0.152,0.57,0.057,0.08,0.132,0.53,0.194,0.02,0.557,0.443
Seq_3884,0.103,0.134,0.598,0.075,0.093,0.103,0.555,0.199,0.025,0.53,0.47
Seq_3885,0.13,0.143,0.574,0.073,0.088,0.13,0.532,0.249,0.044,0.503,0.497
Seq_3886,0.124,0.176,0.525,0.038,0.08,0.124,0.53,0.198,0.036,0.525,0.475
Seq_3887,0.156,0.156,0.491,0.018,0.108,0.156,0.491,0.234,0.036,0.419,0.581
Seq_3888,0.129,0.18,0.508,0.028,0.104,0.129,0.527,0.192,0.047,0.363,0.637
Seq_3889,0.114,0.175,0.593,0.027,0.065,0.114,0.57,0.156,0.084,0.551,0.449
Seq_3890,0.108,0.182,0.537,0.034,0.138,0.108,0.498,0.202,0.034,0.488,0.512
Seq_3891,0.159,0.167,0.53,0.03,0.045,0.159,0.576,0.189,0.053,0.515,0.485
Seq_3892,0.157,0.165,0.503,0.036,0.058,0.157,0.495,0.212,0.038,0.484,0.516
Seq_3893,0.122,0.229,0.517,0.036,0.125,0.122,0.564,0.219,0.065,0.438,0.562
Seq_3894,0.154,0.093,0.602,0.081,0.073,0.154,0.525,0.243,0.008,0.529,0.471
Seq_3895,0.138,0.271,0.445,0.062,0.075,0.138,0.49,0.237,0.09,0.557,0.443
Seq_3896,0.139,0.185,0.511,0.037,0.082,0.139,0.509,0.21,0.045,0.509,0.491
Seq_3897,0.176,0.173,0.452,0.025,0.113,0.176,0.44,0.241,0.03,0.44,0.56
Seq_3898,0.113,0.221,0.466,0.03,0.11,0.113,0.451,0.185,0.018,0.522,0.478
Seq_3899,0.118,0.235,0.491,0.037,0.067,0.118,0.5,0.212,0.034,0.449,0.551
Seq_3900,0.131,0.183,0.484,0.04,0.06,0.131,0.504,0.226,0.032,0.524,0.476
Seq_3901,0.144,0.087,0.601,0.048,0.062,0.144,0.529,0.226,0.024,0.486,0.514
Seq_3902,0.112,0.244,0.488,0.037,0.095,0.112,0.508,0.211,0.037,0.512,0.488
Seq_3903,0.185,0.2,0.462,0.031,0.108,0.185,0.492,0.215,0.092,0.462,0.538
Seq_3904,0.139,0.189,0.522,0.035,0.08,0.139,0.507,0.194,0.055,0.438,0.562
Seq_3905,0.131,0.219,0.468,0.013,0.118,0.131,0.494,0.211,0.038,0.435,0.565
Seq_3906,0.148,0.173,0.469,0.049,0.136,0.148,0.463,0.253,0.056,0.407,0.593
Seq_3907,0.119,0.161,0.54,0.027,0.072,0.119,0.507,0.182,0.03,0.487,0.513
Seq_3908,0.111,0.179,0.519,0.049,0.086,0.111,0.525,0.216,0.037,0.481,0.519
Seq_3909,0.145,0.13,0.565,0.041,0.056,0.145,0.506,0.223,0.019,0.52,0.48
Seq_3910,0.139,0.212,0.511,0.029,0.044,0.139,0.526,0.197,0.08,0.54,0.46
Seq_3911,0.154,0.176,0.522,0.022,0.051,0.154,0.493,0.206,0.059,0.485,0.515
Seq_3912,0.142,0.201,0.443,0.029,0.098,0.142,0.465,0.247,0.036,0.479,0.521
Seq_3913,0.135,0.242,0.431,0.018,0.125,0.135,0.416,0.196,0.038,0.452,0.548
Seq_3914,0.179,0.09,0.56,0.052,0.045,0.179,0.515,0.239,0.022,0.5,0.5
Seq_3915,0.132,0.181,0.527,0.06,0.055,0.132,0.5,0.236,0.022,0.505,0.495
Seq_3916,0.156,0.178,0.5,0.05,0.122,0.156,0.5,0.222,0.033,0.417,0.583
Seq_3917,0.151,0.125,0.561,0.044,0.055,0.151,0.515,0.215,0.038,0.491,0.509
Seq_3918,0.101,0.178,0.574,0.044,0.059,0.101,0.533,0.178,0.047,0.583,0.417
Seq_3919,0.169,0.202,0.438,0.037,0.075,0.169,0.442,0.225,0.015,0.404,0.596
Seq_3920,0.136,0.147,0.569,0.053,0.065,0.136,0.525,0.212,0.041,0.534,0.466
Seq_3921,0.145,0.15,0.511,0.037,0.082,0.145,0.461,0.247,0.015,0.474,0.526
Seq_3922,0.195,0.141,0.463,0.039,0.044,0.195,0.459,0.249,0.039,0.444,0.556
Seq_3923,0.169,0.217,0.418,0.058,0.095,0.169,0.418,0.286,0.058,0.481,0.519
Seq_3924,0.124,0.23,0.495,0.048,0.062,0.124,0.514,0.23,0.048,0.558,0.442
Seq_3925,0.128,0.177,0.547,0.047,0.081,0.128,0.513,0.19,0.049,0.534,0.466
Seq_3926,0.152,0.143,0.523,0.035,0.111,0.152,0.48,0.219,0.023,0.43,0.57
Seq_3927,0.1,0.238,0.51,0.053,0.116,0.1,0.518,0.191,0.036,0.546,0.454
Seq_3928,0.145,0.126,0.584,0.037,0.079,0.145,0.514,0.22,0.047,0.542,0.458
Seq_3929,0.109,0.135,0.693,0.021,0.156,0.109,0.63,0.161,0.016,0.495,0.505
Seq_3930,0.083,0.207,0.545,0.069,0.062,0.083,0.497,0.186,0.014,0.552,0.448
Seq_3931,0.155,0.241,0.444,0.034,0.095,0.155,0.47,0.237,0.026,0.509,0.491
Seq_3932,0.149,0.213,0.47,0.062,0.077,0.149,0.493,0.238,0.027,0.502,0.498
Seq_3933,0.124,0.232,0.45,0.037,0.096,0.124,0.453,0.25,0.048,0.506,0.494
Seq_3934,0.139,0.246,0.447,0.046,0.101,0.139,0.481,0.22,0.047,0.448,0.552
Seq_3935,0.152,0.204,0.47,0.05,0.095,0.152,0.47,0.248,0.03,0.453,0.547
Seq_3936,0.147,0.19,0.48,0.053,0.091,0.147,0.48,0.257,0.034,0.461,0.539
Seq_3937,0.075,0.234,0.535,0.058,0.097,0.075,0.529,0.178,0.033,0.552,0.448
Seq_3938,0.123,0.216,0.507,0.045,0.126,0.123,0.499,0.213,0.045,0.473,0.527
Seq_3939,0.103,0.193,0.572,0.048,0.062,0.103,0.552,0.193,0.021,0.648,0.352
Seq_3940,0.149,0.16,0.525,0.055,0.133,0.149,0.497,0.227,0.028,0.475,0.525
Seq_3941,0.115,0.153,0.602,0.063,0.029,0.115,0.571,0.199,0.037,0.597,0.403
Seq_3942,0.149,0.159,0.48,0.052,0.117,0.149,0.481,0.247,0.034,0.407,0.593
Seq_3943,0.144,0.153,0.522,0.054,0.098,0.144,0.494,0.241,0.038,0.474,0.526
Seq_3944,0.147,0.155,0.559,0.055,0.071,0.147,0.512,0.224,0.043,0.549,0.451
Seq_3945,0.127,0.209,0.514,0.046,0.118,0.127,0.483,0.219,0.029,0.531,0.469
Seq_3946,0.125,0.209,0.517,0.046,0.118,0.125,0.486,0.216,0.029,0.531,0.469
Seq_3947,0.19,0.19,0.452,0.042,0.113,0.19,0.455,0.268,0.055,0.406,0.594
Seq_3948,0.118,0.208,0.494,0.045,0.056,0.118,0.562,0.191,0.067,0.444,0.556
Seq_3949,0.122,0.194,0.522,0.044,0.056,0.122,0.567,0.2,0.067,0.444,0.556
Seq_3950,0.121,0.183,0.538,0.055,0.103,0.121,0.513,0.201,0.029,0.498,0.502
Seq_3951,0.059,0.296,0.492,0.048,0.13,0.059,0.476,0.184,0.027,0.629,0.371
Seq_3952,0.121,0.233,0.45,0.067,0.058,0.121,0.434,0.259,0.031,0.53,0.47
Seq_3953,0.133,0.174,0.537,0.051,0.088,0.133,0.502,0.216,0.037,0.53,0.47
Seq_3954,0.107,0.167,0.68,0.053,0.133,0.107,0.673,0.167,0.02,0.46,0.54
Seq_3955,0.1,0.187,0.667,0.053,0.147,0.1,0.673,0.16,0.04,0.447,0.553
Seq_3956,0.134,0.246,0.448,0.0,0.082,0.134,0.47,0.187,0.06,0.53,0.47
Seq_3957,0.155,0.173,0.491,0.027,0.073,0.155,0.482,0.241,0.045,0.445,0.555
Seq_3958,0.122,0.176,0.539,0.012,0.037,0.122,0.506,0.184,0.029,0.514,0.486
Seq_3959,0.167,0.143,0.469,0.027,0.112,0.167,0.442,0.221,0.043,0.395,0.605
Seq_3960,0.121,0.139,0.589,0.038,0.05,0.121,0.565,0.182,0.035,0.619,0.381
Seq_3961,0.164,0.143,0.5,0.028,0.089,0.164,0.484,0.232,0.023,0.469,0.531
Seq_3962,0.15,0.168,0.478,0.035,0.027,0.15,0.5,0.208,0.035,0.5,0.5
Seq_3963,0.106,0.176,0.558,0.061,0.076,0.106,0.521,0.194,0.042,0.555,0.445
Seq_3964,0.125,0.143,0.576,0.034,0.065,0.125,0.498,0.199,0.028,0.452,0.548
Seq_3965,0.137,0.194,0.497,0.033,0.087,0.137,0.48,0.229,0.036,0.461,0.539
Seq_3966,0.147,0.205,0.487,0.064,0.091,0.147,0.457,0.251,0.02,0.557,0.443
Seq_3967,0.179,0.172,0.45,0.053,0.093,0.179,0.464,0.252,0.073,0.503,0.497
Seq_3968,0.174,0.212,0.389,0.01,0.045,0.174,0.417,0.212,0.052,0.42,0.58
Seq_3969,0.172,0.207,0.421,0.021,0.048,0.172,0.434,0.269,0.028,0.421,0.579
Seq_3970,0.161,0.188,0.427,0.016,0.094,0.161,0.448,0.224,0.042,0.385,0.615
Seq_3971,0.172,0.192,0.462,0.026,0.076,0.172,0.453,0.235,0.029,0.506,0.494
Seq_3972,0.115,0.248,0.472,0.032,0.147,0.115,0.467,0.204,0.026,0.452,0.548
Seq_3973,0.097,0.159,0.592,0.039,0.078,0.097,0.573,0.168,0.026,0.595,0.405
Seq_3974,0.12,0.224,0.505,0.057,0.087,0.12,0.503,0.21,0.027,0.508,0.492
Seq_3975,0.141,0.114,0.611,0.054,0.067,0.141,0.537,0.195,0.027,0.483,0.517
Seq_3976,0.117,0.178,0.483,0.049,0.09,0.117,0.476,0.229,0.037,0.483,0.517
Seq_3977,0.163,0.252,0.383,0.028,0.041,0.163,0.411,0.239,0.04,0.427,0.573
Seq_3978,0.169,0.228,0.404,0.029,0.103,0.169,0.456,0.279,0.029,0.412,0.588
Seq_3979,0.127,0.157,0.545,0.041,0.065,0.127,0.504,0.212,0.022,0.527,0.473
Seq_3980,0.17,0.193,0.408,0.029,0.105,0.17,0.38,0.265,0.017,0.399,0.601
Seq_3981,0.16,0.222,0.444,0.037,0.09,0.16,0.467,0.273,0.014,0.495,0.505
Seq_3982,0.145,0.186,0.525,0.038,0.06,0.145,0.509,0.22,0.031,0.497,0.503
Seq_3983,0.124,0.229,0.548,0.212,0.079,0.124,0.557,0.353,0.036,0.547,0.453
Seq_3984,0.118,0.197,0.477,0.064,0.082,0.118,0.476,0.234,0.023,0.548,0.452
Seq_3985,0.116,0.209,0.543,0.047,0.058,0.116,0.558,0.182,0.058,0.57,0.43
Seq_3986,0.142,0.191,0.478,0.071,0.145,0.142,0.444,0.25,0.046,0.478,0.522
Seq_3987,0.175,0.157,0.477,0.036,0.084,0.175,0.461,0.261,0.018,0.436,0.564
Seq_3988,0.161,0.149,0.477,0.032,0.075,0.161,0.457,0.221,0.029,0.42,0.58
Seq_3989,0.142,0.302,0.427,0.06,0.069,0.142,0.509,0.216,0.069,0.496,0.504
Seq_3990,0.156,0.275,0.402,0.045,0.066,0.156,0.475,0.254,0.061,0.545,0.455
Seq_3991,0.134,0.215,0.479,0.035,0.12,0.134,0.465,0.229,0.028,0.451,0.549
Seq_3992,0.143,0.135,0.505,0.034,0.096,0.143,0.48,0.227,0.021,0.42,0.58
Seq_3993,0.159,0.253,0.396,0.047,0.072,0.159,0.429,0.259,0.019,0.534,0.466
Seq_3994,0.141,0.2,0.44,0.013,0.123,0.141,0.453,0.229,0.04,0.413,0.587
Seq_3995,0.141,0.138,0.589,0.04,0.064,0.141,0.532,0.192,0.04,0.522,0.478
Seq_3996,0.11,0.196,0.555,0.041,0.069,0.11,0.555,0.18,0.045,0.555,0.445
Seq_3997,0.15,0.134,0.496,0.039,0.134,0.15,0.441,0.26,0.047,0.339,0.661
Seq_3998,0.052,0.237,0.598,0.072,0.062,0.052,0.629,0.186,0.093,0.68,0.32
Seq_3999,0.1,0.217,0.548,0.048,0.065,0.1,0.535,0.196,0.026,0.604,0.396
Seq_4000,0.131,0.24,0.429,0.031,0.131,0.131,0.449,0.22,0.031,0.363,0.637
Seq_4001,0.158,0.2,0.452,0.044,0.107,0.158,0.47,0.248,0.021,0.463,0.537
Seq_4002,0.124,0.211,0.465,0.034,0.11,0.124,0.473,0.211,0.048,0.496,0.504
Seq_4003,0.077,0.276,0.435,0.035,0.129,0.077,0.432,0.193,0.002,0.566,0.434
Seq_4004,0.136,0.131,0.562,0.011,0.057,0.136,0.523,0.193,0.028,0.528,0.472
Seq_4005,0.083,0.353,0.455,0.055,0.107,0.083,0.479,0.176,0.03,0.647,0.353
Seq_4006,0.143,0.177,0.498,0.053,0.075,0.143,0.502,0.242,0.026,0.479,0.521
Seq_4007,0.076,0.282,0.541,0.041,0.053,0.076,0.582,0.153,0.035,0.659,0.341
Seq_4008,0.165,0.238,0.399,0.041,0.077,0.165,0.415,0.277,0.018,0.493,0.507
Seq_4009,0.119,0.166,0.589,0.033,0.126,0.119,0.576,0.185,0.04,0.53,0.47
Seq_4010,0.126,0.135,0.547,0.03,0.027,0.126,0.527,0.203,0.036,0.511,0.489
Seq_4011,0.143,0.193,0.543,0.037,0.083,0.143,0.58,0.217,0.037,0.493,0.507
Seq_4012,0.145,0.198,0.494,0.057,0.147,0.145,0.477,0.262,0.032,0.47,0.53
Seq_4013,0.138,0.228,0.447,0.043,0.12,0.138,0.45,0.229,0.04,0.491,0.509
Seq_4014,0.117,0.221,0.497,0.049,0.119,0.117,0.485,0.207,0.026,0.501,0.499
Seq_4015,0.118,0.184,0.557,0.047,0.196,0.118,0.459,0.227,0.012,0.49,0.51
Seq_4016,0.047,0.333,0.491,0.03,0.145,0.047,0.466,0.167,0.026,0.628,0.372
Seq_4017,0.091,0.24,0.543,0.08,0.032,0.091,0.532,0.201,0.009,0.604,0.396
Seq_4018,0.145,0.176,0.466,0.043,0.06,0.145,0.469,0.231,0.021,0.503,0.497
Seq_4019,0.113,0.221,0.472,0.064,0.117,0.113,0.47,0.229,0.028,0.542,0.458
Seq_4020,0.061,0.245,0.592,0.095,0.095,0.061,0.667,0.204,0.061,0.714,0.286
Seq_4021,0.123,0.208,0.533,0.024,0.08,0.123,0.476,0.226,0.028,0.561,0.439
Seq_4022,0.132,0.24,0.448,0.021,0.081,0.132,0.484,0.217,0.021,0.548,0.452
