ID,DDR_A,DDR_C,DDR_D,DDR_E,DDR_F,DDR_G,DDR_H,DDR_I,DDR_K,DDR_L,DDR_M,DDR_N,DDR_P,DDR_Q,DDR_R,DDR_S,DDR_T,DDR_V,DDR_W,DDR_Y
Seq_4453,22.06,139.19,29.28,23.46,32.37,22.57,114.45,63.10,50.27,19.35,104.48,26.05,35.88,62.74,37.40,35.27,27.30,33.79,60.09,29.03
Seq_4454,12.66,277.19,22.71,36.18,65.77,23.11,106.35,23.43,21.72,24.67,46.60,24.84,49.06,38.53,58.14,34.45,28.17,23.81,163.33,50.85
Seq_4455,17.78,39.52,40.20,28.04,56.22,21.83,130.13,79.08,25.11,21.66,231.86,34.22,39.11,43.16,28.42,29.44,39.54,28.27,96.23,76.74
Seq_4456,20.12,0.00,16.47,46.14,29.33,18.71,235.74,46.42,36.96,20.36,221.30,19.92,161.89,56.87,130.27,26.39,29.31,21.90,110.40,28.78
Seq_4457,16.35,0.00,32.95,15.75,24.73,20.70,0.00,17.64,16.39,24.08,103.23,64.88,47.05,19.20,22.39,29.10,24.08,12.45,0.00,37.54
Seq_4458,15.07,0.00,27.26,14.72,24.73,20.70,58.76,17.76,15.98,14.86,110.01,55.12,47.05,23.52,30.90,27.72,33.44,11.56,0.00,34.92
Seq_4459,12.02,366.47,27.97,68.74,39.92,19.98,236.81,49.05,15.47,29.36,67.73,22.88,37.43,31.86,0.00,20.98,18.55,22.18,74.15,47.03
Seq_4460,17.53,134.30,18.87,32.50,75.57,23.05,60.15,24.03,21.97,18.55,48.99,134.14,28.69,55.68,43.29,47.88,19.32,21.49,134.73,65.69
Seq_4461,9.59,185.88,14.64,61.30,55.27,22.72,51.20,51.60,37.15,10.83,52.66,33.98,40.54,31.96,29.10,21.09,47.16,33.18,32.35,30.96
Seq_4462,21.32,192.88,19.52,29.88,52.72,24.11,59.60,27.21,18.91,16.13,95.50,30.06,20.96,83.41,20.53,27.51,43.19,22.56,85.84,45.56
Seq_4463,11.48,62.43,20.35,25.96,41.68,20.76,78.38,33.12,51.37,12.86,210.00,57.57,21.88,48.22,37.94,46.37,30.20,25.80,64.61,29.62
Seq_4464,31.32,110.29,39.05,23.69,46.96,44.44,34.28,26.97,32.10,23.88,78.93,38.94,34.37,92.62,29.96,20.36,41.13,29.15,64.52,29.42
Seq_4465,21.10,103.89,25.82,18.49,51.30,29.40,49.53,35.99,23.10,16.64,66.69,96.82,50.26,27.39,21.31,11.27,31.10,16.14,99.12,33.37
Seq_4466,16.04,126.11,29.66,18.74,56.41,17.73,87.65,35.07,29.06,10.82,64.58,53.80,22.86,44.93,40.25,23.20,35.42,33.74,58.38,28.51
Seq_4467,7.92,90.91,26.79,27.48,35.35,14.97,69.33,32.72,31.59,13.54,112.33,37.38,23.37,37.05,38.64,28.71,59.59,24.70,113.42,31.41
Seq_4468,13.10,119.46,27.76,24.51,38.92,20.48,56.08,32.99,50.70,9.46,201.00,28.05,23.49,18.76,31.71,22.16,57.06,23.87,61.97,32.77
Seq_4469,14.61,0.00,48.49,16.62,54.95,27.34,82.65,22.92,29.01,10.60,23.14,32.29,21.41,34.92,28.94,11.62,27.46,25.12,51.53,0.00
Seq_4470,33.03,83.89,43.92,54.12,27.95,22.88,83.38,38.75,73.54,21.36,70.99,26.88,19.18,43.28,58.38,32.10,28.66,18.69,188.80,71.44
Seq_4471,33.02,138.56,43.60,29.55,30.81,26.14,72.69,50.30,68.52,17.59,76.20,23.53,16.05,45.55,39.74,28.78,26.75,18.61,146.08,56.76
Seq_4472,24.57,98.46,32.08,29.05,27.94,23.04,60.27,34.19,84.27,33.36,99.05,30.06,15.64,35.08,36.29,44.88,29.69,27.88,256.93,48.92
Seq_4473,32.82,135.52,33.56,37.15,27.63,25.49,66.16,58.26,81.53,21.22,64.68,26.30,17.43,37.57,35.49,28.94,23.85,19.98,134.42,72.02
Seq_4474,35.49,123.61,41.73,30.10,29.84,22.86,69.34,45.04,73.32,17.76,89.65,23.55,16.64,40.95,40.68,27.61,24.89,18.16,145.27,80.50
Seq_4475,33.35,135.52,33.14,39.96,27.63,26.23,73.38,51.09,75.87,21.23,77.23,29.07,17.43,37.60,29.60,29.63,26.44,18.81,134.42,63.43
Seq_4476,35.52,135.19,33.35,46.46,27.68,26.29,66.55,45.07,75.09,20.99,76.87,27.34,20.02,40.07,41.90,26.81,24.34,18.97,134.32,59.23
Seq_4477,21.85,187.49,24.46,25.31,29.39,21.37,94.03,22.68,21.66,21.85,79.11,39.14,42.67,95.19,62.87,29.87,30.88,24.97,189.39,51.98
Seq_4478,23.70,62.41,14.75,29.18,29.56,15.83,28.92,15.25,15.87,25.01,36.40,44.07,78.90,42.29,32.77,26.34,55.40,15.03,67.39,41.01
Seq_4479,46.31,61.70,41.13,24.32,44.39,29.14,37.12,38.12,36.33,15.14,95.36,25.22,32.68,35.76,25.23,52.12,35.88,33.25,145.84,70.31
Seq_4480,22.41,121.08,18.99,70.44,52.18,12.64,41.66,20.86,22.10,31.05,33.70,38.08,32.82,71.02,72.70,32.69,24.10,18.54,57.98,62.08
Seq_4481,26.91,0.00,36.90,28.51,38.35,17.00,215.62,43.16,23.70,18.15,59.70,44.07,38.19,37.94,67.09,26.88,22.43,21.25,148.06,57.69
Seq_4482,19.59,176.49,27.59,27.39,62.54,19.33,49.05,26.47,52.37,32.56,55.38,34.27,35.45,67.51,61.89,43.75,22.91,23.06,121.39,62.73
Seq_4483,40.23,0.00,16.92,61.39,33.30,17.74,80.35,42.97,20.59,28.81,100.50,20.65,39.85,42.70,61.76,23.62,21.41,26.87,129.75,32.49
Seq_4484,27.46,57.49,22.72,13.34,23.01,22.39,29.91,25.95,19.33,16.85,57.59,30.96,80.69,58.87,32.35,25.66,27.77,47.20,120.81,66.72
Seq_4485,27.46,57.49,22.72,13.33,23.01,22.39,29.91,25.95,19.48,16.85,57.59,25.30,80.69,53.75,32.35,25.66,27.77,47.20,120.81,66.72
Seq_4486,20.62,81.40,28.01,44.07,45.11,18.83,71.49,23.10,28.97,24.67,97.68,21.71,46.30,49.90,40.94,34.23,39.29,24.64,121.33,32.82
Seq_4487,20.57,10.01,44.49,47.68,51.98,9.30,0.00,83.60,38.04,59.15,128.78,32.66,42.07,20.65,42.16,17.69,43.13,112.30,55.43,44.97
Seq_4488,25.63,0.00,34.03,51.16,30.60,28.54,130.38,26.64,28.85,24.40,120.53,18.13,56.17,41.90,105.02,18.33,29.77,35.56,77.82,24.67
Seq_4489,17.42,47.43,15.20,29.00,25.09,15.93,52.52,19.55,36.49,17.03,91.90,44.95,62.84,28.04,80.31,43.26,15.84,33.70,51.19,58.95
Seq_4490,25.83,58.42,18.57,29.08,40.31,33.29,26.10,36.41,32.23,16.29,38.01,16.96,28.90,29.55,41.92,33.62,40.83,17.17,55.26,35.80
Seq_4491,19.47,116.52,22.79,46.00,39.29,16.23,89.23,26.70,31.84,14.72,56.40,38.60,29.37,44.02,42.18,24.54,36.77,28.86,110.59,31.36
Seq_4492,15.77,27.57,34.66,40.17,26.09,24.69,22.74,91.12,13.16,45.75,28.52,50.35,45.55,139.75,52.58,23.92,29.44,35.91,0.00,55.56
Seq_4493,21.92,0.00,21.69,43.46,41.25,18.17,42.68,34.60,34.91,37.15,63.33,24.32,50.33,50.53,32.58,34.41,24.63,25.15,45.98,36.71
Seq_4494,35.22,103.06,33.53,34.23,27.05,28.92,86.65,27.08,55.84,33.44,77.28,16.89,31.85,29.59,66.50,20.69,23.27,25.86,287.68,23.68
Seq_4495,23.17,59.08,21.81,36.20,51.07,18.43,46.93,20.89,39.75,27.23,84.04,39.65,37.55,25.65,26.87,26.41,37.80,32.79,94.65,60.75
Seq_4496,10.10,12.04,31.81,36.07,24.27,14.92,0.00,43.48,19.26,24.07,72.03,24.07,30.86,30.26,18.27,33.68,16.55,40.48,92.25,31.53
Seq_4497,24.14,72.24,27.69,30.65,38.74,20.94,26.58,22.17,28.29,20.82,96.26,52.96,28.95,40.56,72.47,22.16,17.58,33.07,221.78,31.77
Seq_4498,16.97,61.54,15.39,27.91,20.40,23.74,24.91,50.40,137.20,21.38,79.70,39.23,28.12,44.42,18.50,53.12,68.66,61.08,98.10,52.61
Seq_4499,19.44,74.54,83.22,60.04,30.41,18.93,198.92,23.76,59.82,14.60,44.39,51.48,40.75,127.73,55.15,29.84,23.05,20.93,38.01,45.12
Seq_4500,23.65,113.33,21.91,27.35,26.60,20.96,69.81,26.95,32.96,15.30,33.20,42.83,29.43,61.66,37.68,43.75,30.36,22.88,186.90,44.17
Seq_4501,40.49,86.51,25.53,17.87,43.60,15.84,67.37,18.62,19.91,20.60,107.69,49.92,42.51,41.36,56.53,21.63,64.85,23.93,94.70,44.19
Seq_4502,16.68,417.67,31.43,20.68,48.31,31.94,131.60,37.45,44.00,36.51,43.64,23.21,38.89,40.30,39.27,32.92,27.90,26.72,56.21,31.37
Seq_4503,26.59,71.10,25.69,16.15,25.33,28.12,170.02,13.30,18.64,13.55,108.81,31.18,58.27,37.18,56.22,23.54,32.49,54.22,83.26,36.68
Seq_4504,25.94,71.61,24.48,32.41,81.78,19.86,166.69,28.88,24.95,29.42,69.60,41.86,33.15,70.79,56.88,32.99,43.21,26.62,83.87,54.91
Seq_4505,17.45,29.41,42.57,17.36,74.02,16.39,59.53,76.30,23.28,11.82,64.31,65.83,36.13,40.32,30.23,34.39,16.83,34.75,0.00,85.38
Seq_4506,27.94,496.84,31.01,54.28,34.29,22.08,107.54,30.46,34.53,29.84,77.32,21.88,35.83,74.85,35.58,31.10,26.74,27.15,215.90,36.03
Seq_4507,14.73,257.65,21.77,28.90,58.35,27.10,116.26,16.36,15.60,17.36,120.94,28.60,28.39,97.96,84.52,28.16,25.69,30.92,77.69,55.61
Seq_4508,23.67,80.32,27.73,25.17,45.21,38.81,106.29,13.84,17.37,49.04,42.18,33.60,75.53,66.45,64.47,25.77,24.60,32.46,185.04,53.35
Seq_4509,22.17,1460.51,29.70,23.49,170.16,130.04,224.56,55.53,18.26,36.70,257.85,32.21,140.03,62.55,120.72,64.42,24.31,26.69,385.76,38.26
Seq_4510,29.59,75.90,49.64,38.96,25.11,29.79,170.34,43.41,31.51,24.43,128.98,39.24,27.79,48.41,39.57,21.72,39.63,16.71,93.25,134.91
Seq_4511,16.03,68.69,39.03,20.84,44.19,23.88,58.65,14.95,32.32,21.62,96.09,37.08,36.19,40.80,41.86,18.16,17.52,22.49,65.96,78.87
Seq_4512,19.68,0.00,22.80,20.63,77.08,20.30,69.77,28.77,24.58,20.72,25.75,39.38,49.98,51.96,41.27,24.91,24.28,24.09,96.38,52.34
Seq_4513,49.09,105.69,43.92,33.03,47.59,26.63,144.63,32.66,34.90,12.58,173.37,27.80,32.37,85.48,40.37,17.19,41.70,46.79,191.42,89.77
Seq_4514,13.13,39.60,35.29,48.89,51.53,30.78,69.42,25.54,16.64,16.21,50.91,32.17,30.54,40.93,58.13,22.86,28.53,24.30,82.03,44.45
Seq_4515,27.61,118.16,33.53,17.67,34.30,31.20,83.53,22.69,19.34,15.63,120.70,22.96,64.69,99.49,58.30,19.21,38.31,46.03,334.75,38.50
Seq_4516,11.72,286.10,20.72,37.35,70.72,22.87,66.30,75.13,54.58,13.59,75.97,57.44,34.67,39.55,19.20,69.04,18.36,24.96,84.59,81.43
Seq_4517,43.31,102.80,27.74,29.60,26.53,43.44,82.19,30.48,28.92,17.31,73.09,29.09,31.56,47.24,46.71,22.31,34.47,31.32,163.69,43.93
Seq_4518,12.62,192.41,24.80,24.80,44.42,17.11,54.47,15.85,41.71,20.31,62.83,29.59,47.06,54.45,31.52,36.74,49.83,14.33,89.92,37.40
Seq_4519,21.31,229.09,28.28,68.34,53.38,23.86,56.16,20.23,28.56,41.68,87.82,21.33,53.98,59.79,87.68,12.95,26.46,26.53,25.26,25.09
Seq_4520,26.56,215.86,28.33,30.56,49.33,34.17,78.42,28.72,19.96,23.08,68.43,27.02,27.14,35.04,44.13,30.54,44.08,36.19,89.55,34.62
Seq_4521,40.54,81.27,20.65,29.46,40.50,23.40,127.09,23.80,38.87,22.59,212.18,26.98,20.42,103.72,44.87,15.37,22.03,19.48,82.12,44.10
Seq_4522,26.84,420.66,54.66,20.20,52.41,23.01,154.35,28.34,22.05,27.07,67.92,21.81,46.47,57.54,83.05,26.87,26.82,41.09,87.95,24.88
Seq_4523,21.55,84.14,31.88,19.77,78.80,27.81,57.89,27.02,19.45,21.29,42.27,68.76,31.88,30.29,43.38,21.85,29.72,18.91,227.26,70.00
Seq_4524,42.96,110.56,13.87,15.18,36.34,23.10,25.38,19.65,21.18,21.06,62.68,59.91,47.44,29.60,39.04,45.49,25.48,31.87,38.63,23.50
Seq_4525,24.83,174.12,30.56,89.97,43.50,18.09,167.52,25.87,56.73,43.08,99.01,23.04,90.98,70.67,97.09,20.81,28.22,29.20,103.98,37.80
Seq_4526,8.23,182.39,45.46,30.11,48.42,18.68,114.29,23.33,30.36,14.46,124.49,26.61,48.46,84.47,35.00,37.63,35.03,25.88,71.36,106.92
Seq_4527,27.26,92.54,47.94,37.81,66.07,20.45,106.15,40.44,36.88,22.92,50.61,55.15,48.37,91.80,30.47,31.16,30.25,25.18,80.45,90.66
Seq_4528,27.03,93.41,48.42,38.07,65.53,20.36,104.30,42.73,36.71,23.49,50.52,55.23,48.38,93.69,30.04,29.90,30.54,23.19,77.42,94.13
Seq_4529,27.81,184.51,30.63,34.81,38.92,19.32,127.54,31.73,18.91,29.18,63.26,27.53,36.50,40.89,86.85,31.28,29.40,27.45,81.95,29.60
Seq_4530,17.86,824.26,27.78,41.76,46.33,24.31,187.49,37.52,35.69,22.39,62.18,30.76,38.09,32.40,46.79,32.93,24.97,27.15,39.49,48.34
Seq_4531,16.65,807.73,24.49,48.08,45.08,25.08,148.37,35.63,27.34,22.50,85.96,39.05,28.19,31.38,51.25,36.69,30.61,23.45,47.22,41.88
Seq_4532,26.25,0.00,21.75,25.91,25.02,41.65,50.83,30.99,22.06,14.56,83.72,24.71,37.25,34.56,57.61,38.23,34.31,42.99,119.65,25.74
Seq_4533,27.74,63.83,18.50,15.07,42.67,49.74,30.16,22.77,23.12,15.04,38.72,58.58,40.85,68.09,37.93,52.87,33.05,43.00,0.00,46.30
Seq_4534,23.16,62.60,32.16,22.81,47.32,17.59,88.97,24.40,21.57,33.63,49.59,45.81,39.61,43.18,47.15,57.67,28.50,17.44,0.00,65.04
Seq_4535,43.96,758.26,17.90,49.76,81.84,39.92,501.13,57.62,51.36,56.61,626.60,74.78,166.84,106.78,136.46,36.28,17.30,44.04,292.25,69.22
Seq_4536,34.58,172.71,42.14,28.11,22.91,36.74,74.37,20.34,23.54,23.49,65.70,22.82,54.52,33.96,105.27,18.34,18.75,61.23,63.36,53.49
Seq_4537,19.73,81.92,44.64,27.88,52.18,16.61,80.65,37.68,43.86,27.55,163.91,24.00,27.23,55.23,72.82,21.13,28.53,29.97,54.08,41.13
Seq_4538,20.00,127.40,42.13,20.92,44.40,20.52,74.70,32.99,55.24,14.31,76.94,38.20,60.39,102.00,25.32,39.90,40.35,16.12,0.00,78.03
Seq_4539,20.85,95.82,24.13,25.34,52.09,23.31,119.46,30.44,20.69,14.20,76.65,38.57,35.22,38.08,52.27,25.33,28.58,24.09,60.30,75.17
Seq_4540,18.78,99.47,30.10,27.92,33.26,68.71,107.67,19.75,25.14,14.28,48.40,42.48,51.37,49.13,54.06,26.89,33.42,21.35,89.97,52.52
Seq_4541,24.30,99.75,26.10,32.10,51.50,25.95,82.67,31.15,27.60,26.95,69.56,19.19,52.01,46.44,52.88,21.68,24.92,34.82,249.53,30.52
Seq_4542,21.31,30.42,35.50,23.01,31.34,17.53,32.45,26.20,23.70,20.55,34.04,23.43,33.94,34.23,64.71,19.36,23.67,21.62,76.52,80.57
Seq_4543,12.25,309.07,23.36,27.52,82.44,15.47,136.24,43.91,56.14,17.87,105.03,102.63,33.74,40.04,33.05,41.29,22.97,31.39,74.64,84.65
Seq_4544,24.10,148.22,38.65,22.22,30.17,22.46,44.86,24.77,23.48,19.63,109.21,82.70,39.34,69.76,19.77,42.15,24.33,29.97,185.54,22.47
Seq_4545,61.74,100.99,25.11,25.25,43.51,31.95,147.20,38.99,29.21,16.64,70.22,36.57,37.20,49.40,51.98,26.34,21.70,21.59,178.35,42.04
Seq_4546,19.35,377.06,29.22,22.53,60.02,26.60,72.72,31.52,31.18,18.41,67.28,28.17,48.89,29.76,66.54,25.18,31.41,42.49,136.21,46.17
Seq_4547,18.78,420.53,21.57,30.72,49.35,13.16,62.15,48.94,34.02,17.95,75.64,48.88,41.84,69.96,39.90,38.06,26.25,28.77,56.31,37.53
Seq_4548,19.58,161.17,27.42,26.11,29.04,15.58,95.66,42.92,19.12,22.05,51.93,29.37,28.06,28.99,95.85,40.62,27.76,39.07,87.81,37.74
Seq_4549,16.49,0.00,64.07,16.23,27.44,16.55,183.49,77.22,34.61,10.53,80.53,117.61,22.46,50.40,21.82,34.52,48.47,27.01,174.96,47.36
Seq_4550,13.74,214.97,48.11,16.39,36.69,20.43,77.48,46.15,33.21,23.20,118.15,65.21,27.10,103.56,25.29,49.41,34.40,30.18,155.22,92.78
Seq_4551,22.24,116.21,29.59,29.41,26.74,28.60,50.16,37.98,86.27,14.79,80.81,50.43,39.27,43.74,33.88,22.44,33.23,23.72,81.58,75.84
Seq_4552,18.59,0.00,33.49,21.15,30.23,22.82,70.97,41.05,37.17,32.09,40.16,48.01,30.18,54.65,54.84,19.13,25.67,20.80,158.15,41.94
Seq_4553,37.65,87.08,17.66,42.05,45.77,38.06,94.78,17.54,24.57,12.29,83.67,39.24,49.85,52.34,27.31,20.50,28.89,19.14,214.30,49.88
Seq_4554,14.77,68.45,37.01,29.28,45.80,19.37,58.14,32.22,47.20,19.26,49.46,38.15,33.59,28.60,36.27,63.35,24.24,20.01,132.59,58.74
Seq_4555,23.29,60.61,37.54,16.85,54.81,20.36,49.54,49.35,29.92,14.70,47.07,48.06,32.56,39.02,24.25,35.25,37.96,29.68,84.78,74.54
Seq_4556,13.55,78.47,23.93,18.62,69.53,18.40,59.66,32.07,40.21,14.85,86.30,80.89,61.51,62.61,25.40,29.18,32.32,24.26,0.00,41.57
Seq_4557,13.55,78.47,25.58,18.63,69.53,23.23,80.00,32.07,40.84,14.81,86.30,38.11,61.51,62.61,26.25,29.36,32.32,24.26,0.00,41.57
Seq_4558,16.14,0.00,23.45,47.45,37.34,12.50,90.00,41.10,47.17,25.34,125.05,31.19,30.78,23.20,39.77,16.99,43.38,16.73,65.36,61.80
Seq_4559,18.83,0.00,34.62,22.64,23.50,31.33,42.02,11.42,35.18,23.45,36.11,27.60,23.46,30.89,36.20,36.85,24.77,22.11,0.00,54.51
Seq_4560,15.08,67.90,35.75,50.45,82.68,52.36,42.18,21.66,39.89,25.14,41.19,48.70,31.34,47.49,27.37,27.98,30.29,22.74,128.60,90.28
Seq_4561,12.50,49.34,15.26,25.64,38.99,30.68,47.29,18.63,121.09,20.53,53.02,34.99,31.77,25.32,16.58,37.58,24.09,17.04,48.77,79.48
Seq_4562,38.88,89.59,18.26,16.15,36.69,31.62,104.98,22.14,23.26,15.76,113.27,17.37,68.68,37.86,70.18,19.81,54.72,51.72,104.98,25.16
Seq_4563,17.23,225.64,33.72,28.08,43.03,47.61,57.55,62.06,21.61,22.23,58.84,53.81,56.49,25.30,23.37,28.09,37.11,30.90,267.15,51.73
Seq_4564,23.05,0.00,39.86,16.90,95.99,25.44,33.41,15.68,21.73,40.76,77.95,34.57,26.01,30.58,27.51,50.37,44.92,23.47,35.83,31.15
Seq_4565,29.23,108.53,25.12,21.25,34.05,44.32,42.27,23.24,27.55,16.68,53.15,28.60,38.67,68.24,26.92,58.98,32.79,28.78,195.42,34.91
Seq_4566,11.84,117.62,26.20,17.98,82.11,20.54,39.94,21.90,45.47,9.02,191.02,70.42,39.35,92.25,25.99,64.87,27.62,36.25,159.54,63.35
Seq_4567,8.38,102.22,35.61,34.41,68.67,12.60,88.19,55.01,45.16,14.90,30.34,78.15,34.13,56.07,38.40,39.89,52.44,28.04,172.37,86.42
Seq_4568,14.26,84.56,22.36,36.52,51.11,14.29,31.88,36.55,66.83,23.22,63.89,48.38,31.26,39.24,41.82,39.64,31.47,25.28,73.94,46.33
Seq_4569,17.34,54.18,32.38,28.28,29.36,25.21,34.51,20.80,44.15,18.75,49.12,89.49,30.63,37.60,34.28,20.59,35.09,24.90,41.54,37.13
Seq_4570,25.78,417.00,23.96,22.11,45.83,34.36,108.21,30.94,28.50,14.05,54.99,53.59,46.41,35.04,48.86,28.37,35.57,20.69,165.47,70.40
Seq_4571,28.73,0.00,20.64,16.78,44.58,22.33,70.02,13.50,18.86,21.03,57.19,30.45,182.31,22.67,43.76,26.84,30.77,28.56,145.80,50.19
Seq_4572,27.28,142.24,26.41,17.02,49.33,19.52,42.63,31.24,98.91,14.69,106.57,39.18,35.39,48.71,37.28,24.18,27.36,24.58,52.52,72.55
Seq_4573,18.35,71.89,53.50,28.49,67.93,24.64,55.80,80.30,44.30,17.63,51.63,40.52,22.26,37.91,24.35,32.39,20.72,26.83,96.50,36.63
Seq_4574,12.87,114.43,26.12,38.67,25.48,20.90,84.65,48.34,20.31,15.49,78.73,39.37,26.32,49.55,77.95,34.79,23.26,20.11,121.65,55.50
Seq_4575,20.32,143.78,26.30,18.09,30.27,24.80,78.75,37.64,71.40,19.60,59.20,104.82,16.09,73.50,20.23,28.56,28.93,21.78,89.18,37.39
Seq_4576,14.73,1030.14,26.24,35.60,85.62,14.37,153.73,106.06,67.24,25.55,147.27,54.13,28.02,71.31,40.08,24.96,17.27,29.76,75.39,39.99
Seq_4577,28.32,160.00,41.24,42.09,46.14,16.87,47.93,45.13,29.05,29.67,41.61,22.01,25.86,46.51,83.49,51.44,26.86,18.64,121.06,49.83
Seq_4578,30.31,162.28,21.88,16.13,43.18,24.62,70.38,25.02,29.93,17.47,67.08,42.96,52.82,64.25,32.20,33.50,38.77,77.72,288.26,47.42
Seq_4579,21.42,246.24,24.02,89.57,75.96,18.97,113.94,68.04,68.93,18.42,91.19,26.23,35.50,49.82,30.83,22.32,30.58,29.05,92.75,72.87
Seq_4580,17.89,92.86,42.48,37.16,44.06,20.66,50.23,36.00,50.49,16.36,57.23,55.71,36.40,49.48,34.22,28.26,48.70,27.19,167.64,59.92
Seq_4581,23.08,118.71,39.83,26.39,47.58,34.49,55.96,28.15,114.04,13.73,131.70,38.97,21.90,34.24,28.76,36.08,31.10,21.11,61.35,72.74
Seq_4582,30.21,0.00,61.34,43.70,36.68,12.15,69.75,26.59,52.03,36.28,62.74,21.76,68.85,45.32,47.31,24.70,15.18,29.47,85.09,30.55
Seq_4583,14.08,0.00,19.27,24.68,24.41,30.29,84.98,41.57,19.43,14.94,66.93,47.74,44.25,59.32,23.24,34.26,39.38,29.51,153.89,42.44
Seq_4584,19.83,83.08,47.27,141.95,47.26,18.97,196.60,35.13,64.58,24.31,275.89,21.36,30.49,44.51,47.91,15.00,14.80,14.65,101.93,29.90
Seq_4585,26.37,50.31,38.27,14.77,30.94,16.28,0.00,26.23,14.97,19.94,38.13,18.64,31.15,41.29,37.83,28.28,26.17,13.29,64.75,35.86
Seq_4586,17.54,75.76,16.69,23.55,51.42,46.79,68.55,21.11,37.65,15.20,73.46,27.95,80.58,42.54,38.72,21.09,50.27,25.46,116.57,41.00
Seq_4587,31.22,214.27,32.95,36.01,30.59,19.97,287.53,21.40,32.38,11.03,350.84,25.61,21.39,55.40,129.65,17.35,20.32,26.17,363.22,124.78
Seq_4588,38.04,0.00,49.82,14.17,28.44,38.81,72.30,26.11,16.28,13.69,230.64,51.44,33.37,192.83,21.28,23.50,76.63,23.27,93.68,36.64
Seq_4589,22.39,96.78,39.46,22.66,39.14,29.50,45.07,23.39,38.25,19.05,66.50,50.24,36.99,49.95,40.84,25.01,28.00,22.67,114.82,54.63
Seq_4590,25.02,80.19,20.23,25.07,31.50,19.14,53.92,34.64,37.63,14.50,83.11,19.87,31.58,69.77,27.14,30.62,29.82,24.90,146.53,75.85
Seq_4591,40.20,287.70,29.23,20.49,31.59,25.58,106.10,39.04,35.18,23.34,70.05,23.13,20.44,95.09,56.43,40.47,37.59,28.00,42.11,25.09
Seq_4592,27.19,185.25,44.26,20.30,35.45,23.94,323.35,31.74,22.32,21.73,112.64,22.50,21.94,130.23,64.79,43.24,42.03,18.67,52.51,26.44
Seq_4593,26.76,0.00,25.41,20.90,23.04,20.66,81.60,31.82,33.82,31.25,44.86,26.16,38.49,25.19,31.68,22.11,32.24,11.10,0.00,46.03
Seq_4594,11.80,133.61,30.35,45.82,51.49,16.48,124.14,37.13,24.41,22.91,134.85,34.06,39.76,25.84,82.10,30.70,21.59,22.90,88.66,64.24
Seq_4595,16.65,19.80,12.65,35.41,54.34,20.07,47.70,23.05,31.71,15.34,59.16,27.05,82.46,27.41,30.57,13.79,24.99,43.57,67.92,33.35
Seq_4596,7.78,50.75,22.89,22.91,24.86,23.84,39.42,44.50,25.89,40.28,68.22,39.85,19.70,24.54,95.46,35.01,27.64,28.87,62.38,25.61
Seq_4597,18.26,90.64,27.68,26.59,36.27,19.60,41.75,36.72,23.74,16.87,38.18,58.97,59.57,58.17,42.26,24.74,64.01,34.65,70.51,53.31
Seq_4598,15.40,177.40,31.42,85.26,59.78,18.96,131.61,47.52,54.92,34.81,229.23,28.92,29.92,61.67,36.51,22.64,23.20,27.14,88.46,44.20
Seq_4599,29.66,379.73,19.49,28.82,47.58,34.59,87.74,28.69,28.82,20.96,74.71,38.22,58.72,39.73,36.80,41.98,28.47,23.59,68.02,41.73
Seq_4600,19.40,110.64,27.19,23.34,62.71,14.59,30.59,19.31,37.30,23.25,115.83,59.98,54.64,78.46,36.53,47.26,34.37,20.94,160.76,64.67
Seq_4601,30.74,348.83,31.18,19.36,60.03,22.79,114.34,27.83,28.37,24.25,106.65,23.29,57.80,104.76,103.18,23.92,30.53,30.66,169.92,49.33
Seq_4602,18.22,0.00,39.00,40.84,34.81,18.03,395.95,20.55,23.72,25.95,81.08,56.00,53.90,50.27,104.44,32.24,29.59,26.07,424.07,36.09
Seq_4603,26.27,188.55,21.12,30.30,43.61,23.86,69.99,26.42,15.48,36.31,58.78,26.20,60.06,44.74,56.87,25.30,20.33,68.92,51.76,24.02
Seq_4604,22.22,117.81,33.62,35.01,31.01,29.66,50.33,33.42,49.55,35.41,52.68,29.54,60.68,82.59,37.16,30.88,55.64,39.97,82.28,26.89
Seq_4605,29.27,194.08,17.42,33.37,43.58,32.77,70.55,36.35,18.24,30.37,58.78,24.89,79.53,42.50,53.30,27.82,19.74,66.61,51.76,24.18
Seq_4606,38.25,1358.58,27.18,22.69,74.15,24.53,161.94,24.99,26.95,29.56,202.41,26.88,52.96,80.59,57.47,26.36,22.92,27.99,134.45,47.96
Seq_4607,33.05,144.01,21.55,13.35,31.36,28.16,48.74,15.59,27.52,15.00,84.55,23.03,48.09,172.59,66.51,33.04,52.55,16.63,120.70,45.23
Seq_4608,48.24,75.54,27.38,14.57,33.07,35.81,79.54,12.93,19.10,22.49,73.58,30.84,43.72,112.44,36.30,37.90,39.80,17.19,176.70,71.07
Seq_4609,63.28,53.64,37.88,14.27,46.20,34.37,33.81,14.63,14.50,17.90,98.65,28.94,52.72,40.64,20.71,22.85,43.97,28.78,131.21,30.29
Seq_4610,11.78,246.19,14.38,55.53,59.88,31.48,59.92,16.82,12.31,17.54,170.68,27.18,39.85,57.51,104.91,24.41,39.15,20.62,214.05,67.16
Seq_4611,23.82,147.07,34.14,31.23,25.28,52.40,75.00,21.12,26.83,20.34,36.10,29.78,29.02,32.84,33.92,18.75,48.60,34.67,61.67,36.06
