ID,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y
Seq_4365,10.45,5.08,4.80,5.79,3.81,7.49,1.13,2.12,7.20,10.31,0.85,4.38,4.24,4.10,4.66,7.20,4.94,6.64,1.69,3.11
Seq_4366,10.17,5.08,4.80,6.07,3.95,7.49,1.55,2.12,7.20,10.59,0.71,4.10,4.52,4.24,4.80,6.21,5.08,6.64,1.84,2.82
Seq_4367,5.28,2.35,6.85,3.91,5.68,10.18,2.35,5.48,4.70,5.28,2.15,8.02,4.31,2.35,5.48,6.46,4.50,6.85,3.72,4.11
Seq_4368,6.63,1.81,6.93,5.12,6.33,6.33,2.71,6.93,7.23,12.05,2.11,4.22,3.31,2.71,4.22,6.33,3.01,6.33,1.20,4.52
Seq_4369,14.14,0.67,8.42,5.72,4.38,5.05,2.02,4.04,3.03,11.11,3.37,1.01,6.06,4.04,6.06,3.70,5.05,4.38,3.03,4.71
Seq_4370,8.22,0.00,2.74,7.53,3.42,15.07,2.74,4.11,11.64,8.22,0.68,5.48,3.42,2.05,7.53,5.48,4.11,6.85,0.00,0.68
Seq_4371,6.01,0.00,6.78,3.49,3.68,9.50,4.26,4.65,5.04,6.20,2.52,8.14,3.49,3.88,4.07,5.23,6.59,6.78,4.07,5.62
Seq_4372,12.23,0.72,3.60,3.60,5.04,6.47,2.16,2.16,7.19,12.23,2.16,2.88,7.19,1.44,2.16,9.35,7.91,9.35,0.00,2.16
Seq_4373,10.18,0.00,6.32,9.47,4.21,5.96,3.51,5.61,5.96,10.53,2.11,4.91,2.11,3.51,4.21,7.72,3.51,5.61,1.05,3.51
Seq_4374,9.17,0.92,5.50,6.42,6.42,8.26,1.83,6.42,5.50,6.42,3.67,3.67,3.67,3.67,2.75,4.59,10.09,9.17,0.00,1.83
Seq_4375,7.05,0.83,9.13,4.98,5.39,6.22,1.24,7.05,7.05,8.71,2.90,6.22,2.49,2.49,4.15,4.56,6.22,7.47,1.24,4.56
Seq_4376,4.03,0.76,7.05,5.79,5.54,4.53,3.02,12.85,8.56,10.08,2.02,7.81,2.52,2.27,1.76,7.56,4.79,2.77,1.01,5.29
Seq_4377,6.92,1.04,5.19,7.27,5.54,6.92,3.81,6.23,8.65,8.30,3.11,4.15,4.50,2.08,2.77,5.19,6.23,6.57,1.04,4.50
Seq_4378,5.93,2.22,7.90,5.19,4.94,6.91,3.46,9.14,6.17,6.42,2.47,5.19,2.96,0.74,5.19,7.41,2.96,9.88,1.23,3.70
Seq_4379,8.49,1.65,6.84,8.25,3.30,8.49,3.54,7.31,6.60,8.02,2.12,3.77,5.42,3.07,3.07,3.30,6.13,7.55,0.24,2.83
Seq_4380,8.09,4.54,6.52,6.38,3.83,7.52,1.70,3.97,8.51,7.52,1.70,4.26,3.97,3.26,4.26,6.95,5.39,7.23,1.42,2.98
Seq_4381,8.12,3.42,2.99,5.56,5.13,5.98,1.71,4.70,10.26,4.27,2.14,5.98,3.85,6.41,6.41,6.41,3.42,5.98,2.99,4.27
Seq_4382,7.92,1.91,8.47,6.83,2.73,8.20,2.46,5.74,3.01,8.20,2.73,1.37,5.46,4.64,7.38,3.01,7.38,6.83,2.73,3.01
Seq_4383,5.97,2.24,8.21,10.45,5.22,5.22,4.48,5.22,6.72,10.45,1.49,2.99,4.48,1.49,6.72,3.73,1.49,6.72,0.75,5.97
Seq_4384,10.36,0.36,5.71,5.71,2.50,5.00,0.71,7.14,15.00,8.57,1.07,9.29,2.50,2.86,1.07,5.71,5.36,6.43,1.79,2.86
Seq_4385,7.34,1.37,5.68,6.65,3.42,7.63,1.96,4.31,7.05,7.73,2.15,5.87,4.21,3.33,4.99,5.09,5.87,6.95,2.64,5.77
Seq_4386,4.66,0.00,6.99,6.80,6.21,8.35,2.72,6.60,6.60,6.80,1.75,6.21,5.05,2.14,4.27,3.69,4.66,6.60,2.33,7.57
Seq_4387,7.98,2.28,3.42,5.70,7.98,7.22,2.66,4.18,9.13,15.21,1.52,4.56,4.18,3.80,2.28,7.60,2.66,4.18,0.00,3.42
Seq_4388,7.80,0.00,5.67,4.26,2.13,4.96,2.13,5.67,11.35,9.22,1.42,7.80,2.84,3.55,1.42,7.09,10.64,8.51,0.00,3.55
Seq_4389,7.64,0.36,9.27,4.18,3.64,8.55,1.45,7.09,3.82,6.73,1.82,5.82,4.00,5.09,2.55,4.36,9.27,7.27,2.18,4.91
Seq_4390,7.32,0.61,6.71,5.49,6.10,7.32,2.44,7.93,7.93,6.71,1.83,9.76,3.66,3.05,1.83,4.27,7.93,3.05,2.44,3.66
Seq_4391,9.97,0.28,7.12,4.84,2.28,5.41,0.85,5.13,8.26,11.68,2.85,5.70,4.56,5.13,3.70,4.27,3.70,8.55,1.42,4.27
Seq_4392,3.03,0.00,6.49,9.96,3.03,6.49,1.30,5.19,16.88,9.52,1.73,3.03,1.30,3.46,3.03,6.06,6.93,6.93,0.43,5.19
Seq_4393,8.43,0.00,6.56,6.09,2.34,9.84,2.11,9.37,6.32,10.07,3.28,2.81,3.75,3.28,4.68,6.56,5.85,7.49,0.23,0.94
Seq_4394,5.98,1.00,7.31,6.31,4.32,6.31,2.33,7.64,7.31,8.31,2.33,7.31,3.65,4.98,2.66,6.98,4.98,7.31,0.66,2.33
Seq_4395,10.54,1.36,7.48,3.74,2.38,10.37,3.57,4.93,8.33,5.95,3.91,4.25,2.89,3.40,2.89,6.80,5.78,7.65,1.02,2.72
Seq_4396,8.00,2.00,2.00,10.00,4.00,4.00,0.00,2.00,10.00,15.00,2.00,1.00,4.00,7.00,2.00,7.00,8.00,8.00,0.00,4.00
Seq_4397,6.75,1.39,5.56,7.94,4.37,6.35,1.98,6.55,6.94,8.53,3.37,3.57,5.56,2.78,3.17,6.35,6.15,7.34,1.19,4.17
Seq_4398,18.72,0.49,5.91,6.40,4.43,7.88,2.46,4.93,3.94,8.87,0.99,1.48,3.45,4.43,3.94,5.42,4.93,8.37,0.99,1.97
Seq_4399,10.00,2.11,9.47,7.89,4.21,5.26,0.53,2.63,5.26,6.32,3.16,9.47,2.11,3.16,2.11,3.16,6.32,8.95,2.11,5.79
Seq_4400,8.57,0.71,5.36,5.00,4.64,7.14,1.43,6.43,7.50,9.29,3.21,3.57,3.57,7.14,3.57,5.36,4.64,7.50,1.79,3.57
Seq_4401,5.03,0.00,7.10,3.55,3.85,11.54,0.89,2.66,8.28,7.10,2.66,6.80,2.07,4.14,2.07,3.85,6.21,6.21,5.33,10.65
Seq_4402,4.49,2.81,5.62,11.24,5.62,5.62,3.93,8.43,10.11,11.24,2.81,5.62,0.00,1.12,2.81,4.49,5.62,5.06,0.56,2.81
Seq_4403,5.24,2.62,6.81,7.85,5.24,7.33,1.57,5.76,7.85,10.47,1.57,5.24,1.05,3.66,3.66,6.81,3.14,8.90,0.52,4.71
Seq_4404,7.01,1.98,7.19,8.99,2.34,6.65,1.44,3.60,5.22,7.01,1.80,8.99,8.63,2.34,4.50,5.94,3.78,8.63,0.90,3.06
Seq_4405,8.73,0.36,6.91,6.36,3.45,9.09,1.82,5.09,7.45,8.00,2.91,4.91,4.73,5.09,3.64,3.82,5.27,7.27,1.27,3.82
Seq_4406,3.92,1.36,4.77,5.97,4.52,7.42,1.96,6.91,5.71,16.37,2.05,7.25,3.92,2.81,2.98,9.97,6.14,4.01,0.43,1.53
Seq_4407,11.70,2.05,4.09,1.17,2.92,8.19,0.29,3.22,3.22,10.53,1.46,4.09,9.06,5.26,2.63,9.36,8.77,7.89,1.46,2.63
Seq_4408,3.75,1.55,6.62,4.42,3.97,4.86,4.19,7.95,5.08,11.04,3.09,7.28,5.96,2.87,2.87,7.95,4.64,5.96,1.99,3.97
Seq_4409,5.65,0.00,7.26,8.87,1.61,5.65,0.81,7.26,9.68,10.48,4.03,5.65,3.23,0.81,4.03,4.03,7.26,10.48,1.61,1.61
Seq_4410,11.85,0.00,5.20,3.76,4.05,10.12,0.87,5.20,8.38,6.65,0.87,4.62,4.34,3.76,1.45,6.94,8.09,8.38,2.31,3.18
Seq_4411,10.09,0.00,6.53,5.93,3.26,6.97,2.37,4.30,7.86,9.50,3.26,4.90,4.75,2.97,2.97,4.75,7.12,5.93,1.93,4.60
Seq_4412,13.69,1.24,5.60,6.85,4.36,9.75,1.04,6.43,6.02,8.71,1.87,4.77,4.15,3.11,4.77,3.73,4.36,6.43,1.04,2.07
Seq_4413,2.48,0.00,4.35,4.35,4.97,3.11,4.35,10.56,6.83,7.45,3.11,9.94,1.86,3.11,2.48,7.45,5.59,8.70,0.00,9.32
Seq_4414,7.63,0.85,5.08,6.78,2.54,7.63,0.85,6.36,12.71,7.63,0.85,3.39,3.81,5.51,11.02,3.81,3.81,6.78,0.00,2.97
Seq_4415,11.15,0.31,5.88,5.26,5.57,8.36,1.86,5.88,9.60,6.81,3.10,4.02,3.72,4.33,3.72,4.95,6.19,7.12,0.62,1.55
Seq_4416,9.94,1.62,7.91,5.27,4.26,6.69,3.25,5.07,3.85,10.55,2.23,3.45,5.07,3.45,4.87,4.67,6.49,7.10,1.22,3.04
Seq_4417,4.83,1.49,2.97,9.67,2.23,7.81,2.97,8.55,6.32,10.04,2.97,3.72,4.46,3.35,4.09,5.20,7.06,8.92,0.74,2.60
Seq_4418,11.19,0.73,4.38,7.30,5.11,10.22,2.68,6.08,5.35,5.84,2.43,5.60,4.14,1.95,3.41,6.33,6.08,8.03,0.49,2.68
Seq_4419,10.17,0.38,6.78,4.90,5.27,5.84,1.32,4.33,8.10,7.72,1.32,6.03,5.27,3.58,3.58,6.40,5.84,6.59,1.51,5.08
Seq_4420,10.88,0.17,4.84,4.49,3.11,9.67,1.55,5.18,4.66,8.64,2.42,3.80,5.70,4.49,7.08,4.84,4.84,9.50,1.21,2.94
Seq_4421,9.25,1.49,2.99,5.37,5.37,9.85,0.60,7.16,7.46,8.36,2.39,4.18,4.48,3.88,3.88,7.16,7.46,5.97,1.19,1.49
Seq_4422,8.17,0.74,5.45,8.17,2.48,8.42,3.22,7.67,4.70,8.91,3.96,3.71,3.22,2.97,6.93,6.44,4.46,6.19,0.99,3.22
Seq_4423,6.36,0.49,7.59,5.14,4.77,6.49,3.18,3.55,3.43,8.32,1.71,5.75,6.24,3.79,4.53,7.22,6.98,6.85,2.45,5.14
Seq_4424,9.52,1.87,5.44,7.31,3.23,10.03,3.23,4.25,3.74,8.67,2.89,4.25,4.08,3.57,6.80,4.93,5.61,6.97,1.19,2.38
Seq_4425,6.77,1.20,3.98,11.75,3.78,8.17,2.39,6.37,7.17,8.37,2.79,2.59,5.78,3.19,5.78,3.19,3.98,5.78,3.19,3.78
Seq_4426,9.68,0.65,5.16,7.10,1.94,7.10,1.94,5.16,7.10,12.26,2.58,1.94,7.74,3.23,6.45,4.52,5.16,5.16,3.23,1.94
Seq_4427,9.57,0.31,5.86,4.94,4.01,5.56,3.70,7.41,3.70,8.64,2.16,2.16,4.63,4.01,6.17,6.48,8.02,8.33,0.62,3.70
Seq_4428,8.64,0.31,5.56,5.25,4.01,6.17,3.40,6.79,4.63,8.64,2.16,2.47,4.63,3.70,5.86,6.79,7.72,8.95,0.62,3.70
Seq_4429,7.17,0.16,4.94,3.82,5.10,9.39,1.91,3.82,1.91,9.08,0.64,5.57,5.89,3.98,3.50,11.62,7.64,7.32,2.71,3.82
Seq_4430,13.76,1.34,4.36,5.03,3.36,5.37,3.36,5.03,2.35,13.76,1.68,1.68,6.71,6.04,7.38,5.03,5.37,5.70,1.01,1.68
Seq_4431,14.15,1.46,4.15,7.07,3.17,10.24,2.68,6.10,2.68,7.07,3.41,2.44,7.80,1.71,5.61,3.41,5.37,5.61,2.20,3.66
Seq_4432,13.31,0.00,4.73,3.85,3.55,8.28,1.48,3.85,7.69,10.06,2.07,5.03,4.44,5.33,2.07,7.69,4.14,7.69,1.78,2.96
Seq_4433,5.65,0.40,6.85,10.08,6.85,6.05,0.81,5.24,7.26,10.48,2.02,2.42,3.23,2.42,6.85,5.65,4.84,7.26,2.02,3.63
Seq_4434,12.81,0.49,4.43,4.43,1.97,6.90,1.48,6.40,5.91,9.36,3.45,5.42,6.40,3.94,4.93,7.39,3.45,4.93,2.46,3.45
Seq_4435,8.13,0.50,4.64,8.46,3.32,8.62,2.16,5.80,4.98,8.96,2.82,3.32,5.64,2.16,5.31,6.14,4.48,10.78,0.83,2.99
Seq_4436,12.08,1.21,6.65,5.14,3.32,6.95,1.51,4.53,1.81,11.78,0.91,1.81,4.83,8.16,9.37,7.55,3.93,6.04,0.00,2.42
Seq_4437,6.29,1.21,5.93,8.83,4.59,5.93,1.57,6.89,8.10,9.79,2.18,5.20,4.23,1.93,5.68,5.93,4.11,7.13,0.97,3.51
Seq_4438,4.64,0.55,4.64,9.84,3.83,5.46,2.19,11.20,9.84,10.38,1.64,8.47,3.28,1.37,4.37,3.55,4.92,7.10,0.55,2.19
Seq_4439,10.19,2.20,5.51,3.86,5.23,10.47,1.10,4.96,1.38,9.09,2.20,3.58,8.26,3.86,4.13,11.02,5.79,5.79,0.55,0.83
Seq_4440,4.46,0.00,5.73,4.46,5.10,7.01,1.27,10.19,7.01,7.64,1.91,6.37,5.10,3.82,2.55,8.92,5.73,7.01,1.91,3.82
Seq_4441,8.15,1.11,4.81,10.37,4.44,6.67,2.59,8.52,6.30,10.74,2.22,4.44,2.96,0.74,6.67,4.81,4.44,6.67,0.74,2.59
Seq_4442,8.81,1.79,5.95,5.95,2.86,9.40,2.98,7.86,5.95,8.21,2.50,4.64,5.00,2.14,4.40,5.48,6.55,6.55,0.48,2.50
Seq_4443,8.78,0.63,6.58,7.52,5.02,3.76,1.57,5.02,5.33,11.60,2.82,5.64,4.39,3.76,3.13,7.84,4.70,4.70,2.51,4.70
Seq_4444,7.05,0.60,5.36,4.77,3.97,9.93,1.39,4.87,4.57,9.33,0.70,5.46,5.36,2.78,2.88,9.33,7.75,6.06,1.99,5.86
Seq_4445,8.28,1.23,7.98,4.29,2.15,10.12,3.37,5.83,5.52,10.43,3.07,3.68,2.45,3.07,3.99,3.37,6.75,7.98,2.15,4.29
Seq_4446,9.42,0.81,5.93,4.88,3.26,10.35,1.74,3.60,3.95,7.91,1.40,6.28,5.23,3.72,3.72,7.21,5.81,8.02,2.44,4.30
Seq_4447,10.11,2.19,7.65,8.47,3.01,8.20,2.73,4.37,3.01,8.74,3.01,1.09,4.64,2.73,7.92,4.37,5.74,6.56,2.46,3.01
Seq_4448,7.76,1.00,5.51,7.88,3.63,5.63,2.88,8.39,4.01,10.26,3.25,4.76,4.38,5.01,5.88,6.51,3.50,6.13,1.63,2.00
Seq_4449,12.81,0.71,5.69,4.98,3.56,12.46,1.78,3.91,3.56,10.68,2.14,3.56,4.63,1.78,5.69,5.69,4.27,9.25,0.36,2.49
Seq_4450,3.78,0.92,6.18,6.64,5.07,3.50,2.12,6.36,9.59,9.86,2.49,10.32,3.04,2.58,3.23,7.28,5.25,5.53,0.65,5.62
Seq_4451,7.54,1.01,7.54,3.52,3.02,12.06,8.54,2.51,8.54,9.55,6.03,2.01,6.53,2.51,1.01,5.53,4.52,6.03,1.01,1.01
Seq_4452,10.65,0.59,3.25,8.58,1.78,5.62,1.18,7.40,6.51,9.47,2.37,3.25,5.03,4.14,2.96,4.73,7.40,8.58,1.48,5.03
Seq_4453,8.57,1.09,5.61,6.85,5.14,6.54,1.40,3.89,4.21,7.94,1.71,6.23,5.14,2.80,4.83,6.70,7.17,4.98,2.80,6.39
Seq_4454,16.93,0.32,7.35,5.43,2.56,7.67,0.96,7.03,7.67,6.71,3.19,5.11,2.56,4.79,2.24,4.79,5.43,6.39,0.32,2.56
Seq_4455,9.15,4.65,5.35,5.77,4.51,7.89,1.27,2.25,6.48,9.30,0.85,4.51,4.93,4.08,6.20,7.04,4.37,7.04,1.41,2.96
Seq_4456,10.77,0.00,7.49,3.75,5.39,11.01,0.70,3.04,5.39,9.37,0.47,8.67,0.70,3.28,2.11,6.32,6.56,7.96,1.17,5.85
Seq_4457,8.93,0.00,4.46,8.93,3.57,8.93,0.00,8.04,8.04,7.14,1.79,1.79,1.79,6.25,5.36,4.46,6.25,11.61,0.00,2.68
Seq_4458,9.82,0.00,7.14,8.04,3.57,8.93,0.89,10.71,8.93,8.04,0.89,0.89,1.79,3.57,5.36,3.57,4.46,10.71,0.00,2.68
Seq_4459,13.17,0.24,5.12,1.95,3.41,6.59,0.49,4.15,10.98,5.85,2.68,6.83,4.39,4.63,0.00,8.54,8.29,7.56,1.71,3.41
Seq_4460,9.69,0.39,7.36,6.20,2.33,6.98,2.33,5.81,8.91,9.69,4.65,0.78,4.26,2.33,4.26,3.10,8.14,9.30,1.16,2.33
Seq_4461,14.15,0.49,6.83,2.93,2.93,6.83,2.93,4.39,3.41,12.68,2.93,3.90,3.90,5.85,5.37,7.32,1.95,4.39,2.93,3.90
Seq_4462,8.37,0.93,8.84,4.19,3.26,4.19,1.86,6.05,8.37,13.02,3.26,5.58,5.58,2.79,5.12,5.58,2.79,5.58,0.93,3.72
Seq_4463,15.09,1.89,6.60,5.19,3.30,5.66,1.89,5.19,3.30,11.32,0.47,2.83,7.08,4.25,7.55,3.30,3.77,5.19,1.89,4.25
Seq_4464,6.62,1.89,3.78,6.62,3.78,4.73,3.78,5.91,6.62,6.86,2.36,4.26,3.31,2.60,5.44,9.93,3.78,8.51,2.13,7.09
Seq_4465,7.58,1.52,5.56,7.58,4.55,3.54,2.02,3.54,7.58,9.60,2.53,1.52,3.03,4.55,5.05,12.12,4.55,8.59,0.51,4.55
Seq_4466,8.87,0.99,5.91,7.39,3.45,7.88,0.99,3.94,4.93,14.78,1.97,1.97,6.40,4.43,4.93,5.42,3.45,4.93,2.46,4.93
Seq_4467,14.93,1.00,5.47,5.97,3.48,8.46,1.49,4.98,6.47,11.44,1.00,3.98,4.98,3.48,4.48,4.98,1.99,5.97,1.00,4.48
Seq_4468,9.85,0.99,4.43,5.42,3.45,7.39,1.97,3.45,3.45,13.30,0.49,3.94,5.91,7.39,4.43,8.87,1.97,6.90,1.97,4.43
Seq_4469,11.70,0.00,3.19,7.45,1.06,3.19,1.06,5.32,4.26,12.77,5.32,4.26,5.32,4.26,7.45,9.57,5.32,6.38,2.13,0.00
Seq_4470,7.55,1.47,4.97,2.76,5.34,8.47,2.03,4.60,2.21,8.29,3.68,7.37,9.39,4.24,3.87,5.71,6.63,8.10,0.92,2.39
Seq_4471,7.12,1.09,4.01,4.56,5.47,7.66,1.82,3.83,2.01,9.31,2.92,6.75,9.85,4.20,4.56,6.20,7.66,7.30,1.09,2.55
Seq_4472,8.19,1.12,4.84,4.66,6.15,8.57,2.61,5.21,1.86,8.01,2.61,5.40,9.12,5.03,4.66,5.96,5.96,6.89,0.56,2.61
Seq_4473,7.04,1.11,4.44,3.89,5.74,8.33,2.59,3.89,1.85,7.59,2.22,7.41,9.44,4.81,4.26,4.81,8.33,8.52,1.11,2.59
Seq_4474,7.10,0.93,4.67,4.67,5.42,7.85,2.06,4.67,2.06,9.53,1.87,7.10,9.72,4.30,4.67,5.79,6.54,7.66,1.12,2.24
Seq_4475,7.41,1.11,5.19,3.89,5.74,7.59,2.04,3.33,2.04,7.41,2.04,6.48,9.44,4.63,4.81,5.37,8.15,9.26,1.11,2.96
Seq_4476,6.86,1.11,4.82,3.53,5.57,7.42,2.60,4.27,2.23,7.98,2.04,6.86,9.28,4.64,3.90,6.49,7.79,8.53,1.11,2.97
Seq_4477,7.98,0.44,6.65,8.87,4.66,7.98,2.66,6.87,8.65,8.43,3.10,3.55,4.21,1.55,4.21,4.88,3.77,7.54,0.67,3.33
Seq_4478,8.18,0.91,10.00,7.27,5.45,7.27,4.55,8.18,8.18,5.45,5.45,4.55,1.82,1.82,3.64,3.64,2.73,7.27,1.82,1.82
Seq_4479,3.88,3.40,4.13,8.01,3.40,5.58,4.13,4.61,6.07,10.92,2.18,5.58,5.83,3.64,7.04,5.58,5.83,6.07,0.97,3.16
Seq_4480,7.59,1.27,7.59,2.53,4.43,10.76,1.90,5.06,7.59,4.43,5.70,5.06,3.80,1.27,1.27,5.06,9.49,8.23,1.90,5.06
Seq_4481,9.44,0.00,5.15,4.72,3.00,9.44,0.43,4.29,10.73,7.73,4.72,4.72,4.72,4.29,1.29,6.87,7.73,7.73,0.86,2.15
Seq_4482,7.22,0.88,5.81,6.16,3.52,10.56,3.35,6.87,6.51,5.28,3.35,4.93,4.05,2.29,3.70,4.93,8.98,7.57,0.88,3.17
Seq_4483,5.37,0.00,10.12,3.51,4.34,8.88,2.07,4.34,9.09,6.61,1.86,7.02,2.89,4.55,2.07,6.61,8.26,5.99,1.03,5.37
Seq_4484,5.00,2.78,6.11,11.67,5.00,5.56,3.33,6.11,6.67,12.78,2.78,6.11,1.11,1.67,5.00,5.56,5.56,4.44,0.56,2.22
Seq_4485,5.00,2.78,6.11,11.11,5.00,5.56,3.33,6.11,6.11,12.78,2.78,6.67,1.11,2.22,5.00,5.56,5.56,4.44,0.56,2.22
Seq_4486,8.30,1.98,5.14,4.15,4.94,8.89,2.57,7.31,6.92,7.71,2.17,7.51,4.15,2.96,4.35,4.94,3.95,6.13,1.19,4.74
Seq_4487,11.32,15.09,2.36,2.83,2.36,19.81,0.00,1.42,3.77,4.25,2.36,5.19,2.36,6.60,2.36,7.08,4.25,1.42,1.42,3.77
Seq_4488,5.54,0.00,5.23,4.00,4.92,7.08,1.54,4.31,9.54,7.08,1.85,9.85,2.46,4.00,2.77,9.23,7.69,5.54,1.85,5.54
Seq_4489,8.41,2.34,7.48,4.21,4.21,7.48,4.21,7.01,4.21,7.48,2.34,5.14,4.21,7.48,1.40,3.27,7.94,7.48,1.87,1.87
Seq_4490,7.89,1.32,6.58,7.24,2.63,4.61,4.61,3.29,7.89,8.55,3.95,7.24,3.29,3.29,4.61,3.95,3.95,9.87,1.97,3.29
Seq_4491,6.83,0.68,5.80,6.14,3.41,8.87,1.02,7.51,6.14,10.24,3.41,4.44,5.12,4.78,4.10,5.12,4.44,5.80,0.68,5.46
Seq_4492,10.20,7.00,5.25,3.21,4.66,8.45,5.83,2.04,11.95,4.37,5.83,4.37,2.92,0.58,3.50,5.83,4.66,7.00,0.00,2.33
Seq_4493,6.37,0.00,6.37,4.25,4.25,9.65,3.67,4.44,5.02,5.60,2.51,8.88,3.09,2.90,4.83,5.41,6.37,7.14,4.05,5.21
Seq_4494,4.01,1.18,6.60,4.95,5.42,6.13,1.18,6.13,3.54,6.37,2.83,8.96,3.77,6.60,3.77,6.37,6.37,7.08,0.24,8.49
Seq_4495,7.81,1.56,5.73,7.29,3.12,8.33,3.65,7.81,4.17,7.81,3.12,3.65,4.69,4.17,5.73,6.25,4.69,7.81,1.04,1.56
Seq_4496,11.00,8.00,3.00,3.00,4.00,9.00,0.00,3.00,6.00,10.00,3.00,5.00,6.00,3.00,7.00,5.00,6.00,3.00,1.00,4.00
Seq_4497,8.61,1.64,5.33,5.74,5.33,7.79,6.56,6.56,4.10,8.20,2.05,3.28,5.33,2.87,1.23,6.56,7.38,6.56,0.82,4.10
Seq_4498,13.11,1.09,9.84,7.65,8.74,6.56,5.46,2.73,2.73,9.84,1.64,2.73,3.83,3.28,9.29,2.73,2.73,2.19,1.64,2.19
Seq_4499,7.94,2.18,2.18,3.37,7.34,7.74,0.60,9.33,3.37,11.51,3.57,3.17,4.76,1.59,3.17,5.75,6.35,7.94,4.56,3.57
Seq_4500,10.69,1.27,7.38,6.36,4.83,8.14,2.04,4.58,6.11,9.16,3.82,3.31,5.09,1.78,4.58,4.33,5.09,7.12,0.76,3.56
Seq_4501,4.61,1.90,6.50,6.78,5.69,7.59,2.17,8.94,9.76,7.32,1.63,5.96,3.25,3.52,2.98,7.32,2.71,6.23,1.36,3.79
Seq_4502,10.09,0.22,5.92,7.24,3.73,6.58,1.97,4.82,5.04,6.36,3.73,6.36,3.95,3.95,3.73,5.48,5.70,6.80,3.51,4.82
Seq_4503,6.48,0.93,6.48,8.33,5.09,6.02,0.46,11.11,9.72,10.19,1.85,5.56,2.78,3.24,2.31,8.33,3.24,2.78,0.93,4.17
Seq_4504,8.02,2.04,5.98,6.49,2.93,7.63,1.40,6.11,7.89,8.02,3.05,6.11,4.45,2.67,3.44,4.83,5.73,6.87,2.16,4.20
Seq_4505,11.18,5.59,4.35,6.83,1.24,9.32,1.24,1.86,5.59,13.04,2.48,3.11,3.11,3.11,7.45,5.59,8.07,5.59,0.00,1.24
Seq_4506,7.12,1.57,5.56,2.85,3.99,8.40,1.85,6.27,4.27,7.55,2.28,8.40,6.84,2.56,4.27,6.13,6.13,8.12,1.00,4.84
Seq_4507,9.97,1.17,7.04,7.62,3.52,5.57,1.17,8.50,11.44,9.09,1.47,6.45,4.40,0.88,1.17,6.45,5.28,4.69,1.47,2.64
Seq_4508,5.87,1.40,6.98,8.38,4.19,6.15,1.68,10.61,10.06,4.75,4.19,6.42,2.51,2.51,2.23,6.70,5.87,5.87,0.28,3.35
Seq_4509,11.33,0.07,6.27,8.33,2.47,4.33,0.60,3.47,10.27,5.60,0.80,6.60,6.80,4.20,1.80,5.87,9.20,6.60,0.47,4.93
Seq_4510,6.28,1.79,4.48,4.71,6.05,5.83,2.24,5.61,5.83,10.99,1.12,4.93,6.73,3.36,2.91,9.19,4.04,11.66,1.35,0.90
Seq_4511,7.18,1.44,2.87,7.18,3.83,5.74,2.39,8.13,8.13,10.05,1.44,3.35,3.83,4.78,3.35,7.18,9.09,6.70,1.91,1.44
Seq_4512,7.81,0.00,6.25,8.33,1.56,7.29,1.04,4.17,7.29,7.81,5.73,4.69,3.65,2.60,5.73,5.21,7.29,11.46,0.52,1.56
Seq_4513,3.83,1.60,4.45,4.99,3.65,7.84,1.69,5.70,4.63,16.12,1.34,7.66,4.90,2.58,4.45,10.95,4.90,5.79,0.71,2.23
Seq_4514,11.45,2.41,4.22,4.82,3.61,4.82,1.20,6.02,8.43,12.65,2.41,6.63,4.22,2.41,2.41,7.23,7.83,4.82,0.60,1.81
Seq_4515,6.89,1.28,5.36,8.67,4.08,5.61,1.53,8.42,8.67,10.97,2.04,6.38,2.81,1.79,2.55,7.91,4.59,5.10,0.26,5.10
Seq_4516,15.44,0.38,6.78,3.95,3.01,7.16,1.51,1.88,3.58,11.30,2.64,3.20,5.08,4.33,7.72,2.45,7.16,9.23,1.51,1.69
Seq_4517,4.03,1.58,6.04,5.76,5.61,5.32,2.16,8.06,7.48,10.22,2.30,5.61,4.32,4.03,3.88,8.35,5.32,5.76,0.72,3.45
Seq_4518,10.73,0.63,6.62,5.99,4.42,8.83,2.52,8.83,4.42,7.26,1.89,5.05,2.84,2.21,5.68,4.10,3.79,9.46,0.95,3.79
Seq_4519,7.28,0.38,4.60,1.92,3.45,8.81,1.92,6.51,6.13,4.98,1.15,9.58,2.68,2.30,1.53,11.49,7.28,6.51,6.13,5.36
Seq_4520,6.78,0.68,5.43,7.19,3.80,5.43,1.76,5.83,8.41,8.14,2.31,6.24,5.29,5.43,3.80,5.16,4.88,6.51,2.17,4.75
Seq_4521,4.04,0.90,6.73,4.93,5.38,7.62,0.45,6.28,7.17,7.62,0.90,7.17,7.17,0.90,2.69,12.56,6.28,7.17,1.35,2.69
Seq_4522,5.53,0.13,5.16,7.42,3.65,7.04,0.88,6.92,8.55,6.42,2.01,9.94,4.15,2.39,2.26,6.79,6.29,5.41,2.52,6.54
Seq_4523,10.88,0.84,4.18,8.79,2.93,5.86,1.67,5.86,8.37,10.04,2.93,2.51,4.60,4.18,3.35,7.11,5.02,8.79,0.42,1.67
